,gene,label,ST
1455,AP003086.1,NRPs_like_SHHb3,0.0
1538,AL033504.1,NRPs_like_SHHb4,0.0
1621,AC024230.1,NRPs_like_SHHb4,0.0
1622,LINC02438,NRPs_like_SHHb4,0.0
2762,PLPP4,Pre_OLs,0.0
1611,LINC02336,NRPs_like_SHHb4,0.0
1625,AF121898.1,NRPs_like_SHHb4,0.0
1593,CNBD1,NRPs_like_SHHb4,0.0
1664,NKAIN2,OLs,0.0
1572,AC090791.1,NRPs_like_SHHb4,0.0
2755,AC124254.2,Pre_OLs,0.0
1561,AC017101.1,NRPs_like_SHHb4,0.0
1686,P2RX7,OLs,0.0
1533,AL445123.2,NRPs_like_SHHb4,0.0
1457,AL160254.1,NRPs_like_SHHb3,0.0
1511,AC079142.1,NRPs_like_SHHb4,0.0
1505,CHRM5,NRPs_like_SHHb4,0.0
2746,SGCD,Pre_OLs,0.0
1751,LINC00639,OLs,0.0
1760,LINC00609,OLs,0.0
2741,CSMD2,Pre_OLs,0.0
1471,PCDH9-AS2,NRPs_like_SHHb3,0.0
1470,AC004875.1,NRPs_like_SHHb3,0.0
1465,LINC02742,NRPs_like_SHHb3,0.0
2067,ZNF208,OPCs_like_MYC2,0.0
1462,LINC02643,NRPs_like_SHHb3,0.0
2065,AC005323.2,OPCs_like_MYC2,0.0
1018,LINC02506,IPCs_like_SHHa5,0.0
2068,AC106729.1,OPCs_like_MYC2,0.0
442,MALRD1,GRPs_like_TYR1,0.0
2310,LINC02672,OPCs_like_MYC4,0.0
618,AL358232.2,GRPs_like_TYR2,0.0
582,AC092422.1,GRPs_like_TYR2,0.0
2390,NLGN4Y,OPCs_like_MYC5,0.0
2400,C5orf17,OPCs_like_MYC5,0.0
467,LINC01090,GRPs_like_TYR1,0.0
466,CPXM2,GRPs_like_TYR1,0.0
464,XACT,GRPs_like_TYR1,0.0
105,THEMIS,BMDM,0.0
106,CD96,BMDM,0.0
463,SGO1-AS1,GRPs_like_TYR1,0.0
446,TMC5,GRPs_like_TYR1,0.0
441,AP000829.1,GRPs_like_TYR1,0.0
1049,AC004158.1,ImmatureNeurons_like_SHHa3,0.0
430,ESR2,GRPs_like_TYR1,0.0
405,AL606923.2,GRPs_like_TYR1,0.0
390,PCAT1,GRPs_like_TYR1,0.0
355,RGS7BP,GABAergic,0.0
353,CACNG2,GABAergic,0.0
350,NOS1AP,GABAergic,0.0
256,FAT2,Dopaminergic,0.0
2540,LINC01720,OPCs_like_MYC6,0.0
2544,AC027288.3,OPCs_like_MYC6,0.0
240,AC016821.1,Dopaminergic,0.0
218,PTCHD1-AS,Dopaminergic,0.0
181,ATP2B2,Dopaminergic,0.0
2306,AC011246.1,OPCs_like_MYC4,0.0
2299,AL139815.1,OPCs_like_MYC4,0.0
2298,LINC02511,OPCs_like_MYC4,0.0
702,CNTNAP5,Glutamatergic,0.0
1046,GRM7,ImmatureNeurons_like_SHHa3,0.0
170,GABRB2,Dopaminergic,0.0
1017,AF130359.1,IPCs_like_SHHa5,0.0
1016,AC069277.1,IPCs_like_SHHa5,0.0
901,GABRA3,IPCs_like_SHHa2,0.0
2169,SNAP25-AS1,OPCs_like_MYC3,0.0
